Date,Open,High,Low,Close,Volume,Market Cap
Apr-23-2023,27589.73,27967.05,27121.8,27529.2,35900000000,5.32E+11
Apr-22-2023,27818.83,27818.83,27400.17,27588.57,30200000000,5.33E+11
Apr-21-2023,27262.87,27853.24,27177.26,27820.65,47900000000,5.31E+11
Apr-20-2023,28240.35,28350.29,27219.2,27274.5,49200000000,5.41E+11
Apr-19-2023,28809.24,29049.45,28045.06,28267.17,53200000000,5.55E+11
Apr-18-2023,30380.05,30388.94,28688.75,28804.98,48500000000,5.72E+11
Apr-17-2023,29449.25,30433.47,29199.07,30366.57,39800000000,5.79E+11
Apr-16-2023,30307.42,30307.82,29300.47,29413.96,34500000000,5.75E+11
Apr-15-2023,30295.11,30527.17,30168.23,30304.87,23500000000,5.86E+11
Apr-14-2023,30467.81,30516.8,30248.08,30297.83,36800000000,5.88E+11
Apr-13-2023,30380.71,30955.87,30031.66,30478.29,48100000000,5.92E+11
Apr-12-2023,29883.23,30503.85,29859.84,30359.58,42900000000,5.84E+11
Apr-11-2023,30203.78,30430.85,29765.25,29877.42,44400000000,5.80E+11
Apr-10-2023,29661.43,30442.47,29594.46,30230.07,52800000000,5.82E+11
Apr-09-2023,28323.77,29733.04,28201.64,29609.83,32700000000,5.53E+11
Apr-08-2023,27938.38,28477.62,27816.61,28321.86,23000000000,5.42E+11
Apr-07-2023,27909.61,28144.55,27859.97,27934.04,23400000000,5.41E+11
Apr-06-2023,28033.82,28097.96,27814.97,27902.26,28400000000,5.40E+11
Apr-05-2023,28174.11,28174.11,27763.87,28019.74,35300000000,5.42E+11
Apr-04-2023,28161.74,28681.05,27893.44,28176.39,36600000000,5.48E+11
Apr-03-2023,27807.77,28405.4,27695.28,28149.68,41000000000,5.43E+11
Apr-02-2023,28170.78,28427.73,27405.98,27761.46,36000000000,5.41E+11
Apr-01-2023,28452.74,28515.94,27879.05,28188.18,26100000000,5.47E+11
Mar-31-2023,28467.88,28789.41,28305.25,28464.81,36600000000,5.50E+11
Mar-30-2023,28028.48,28614.04,27663.05,28467.2,45100000000,5.45E+11
Mar-29-2023,28348.54,29156.38,27774.75,28031.6,46300000000,5.49E+11
Mar-28-2023,27266.67,28586,27252.7,28370.77,42500000000,5.43E+11
