Date,Open,High,Low,Close,Volume,Market Cap
Apr-25-2023,91.1611,93.7558,85.6221,88.3457,1650000000,6620000000
Apr-24-2023,88.5558,91.8346,87.6758,91.2583,1360000000,6500000000
Apr-23-2023,87.0658,89.0624,86.7638,88.5731,1210000000,6390000000
Apr-22-2023,87.3088,87.3912,85.1034,87.1974,925000000,6310000000
Apr-21-2023,85.6233,87.3805,85.2592,87.3366,1300000000,6290000000
Apr-20-2023,90.2807,90.805,84.957,85.6851,1650000000,6470000000
Apr-19-2023,90.6724,92.1609,87.5317,90.4168,1930000000,6570000000
Apr-18-2023,101.8004,101.8004,89.7102,90.4751,1610000000,7020000000
Apr-17-2023,98.8176,103.0034,98.2267,101.79,1580000000,7370000000
Apr-16-2023,100.1309,100.3084,98.09475,98.6394,1820000000,7190000000
Apr-15-2023,96.78335,101.8831,95.64571,100.244,1270000000,7150000000
Apr-14-2023,96.3836,97.20161,94.98998,96.84596,1260000000,6990000000
Apr-13-2023,94.2244,98.5455,93.9068,96.4357,1660000000,7020000000
Apr-12-2023,92.0874,94.5332,91.8376,94.1784,1240000000,6800000000
Apr-11-2023,94.253,94.6457,91.2067,92.08679,1420000000,6690000000
Apr-10-2023,93.8338,96.89402,93.286,94.2405,1590000000,6900000000
Apr-09-2023,90.80727,94.2008,90.24684,93.7138,952000000,6650000000
Apr-08-2023,90.1479,91.1249,89.51323,90.7843,788000000,6570000000
Apr-07-2023,90.7393,91.48057,89.79009,90.1637,811000000,6580000000
Apr-06-2023,91.0691,91.4767,89.7612,90.6525,981000000,6580000000
Apr-05-2023,92.6452,92.6452,90.2453,90.9845,1230000000,6640000000
Apr-04-2023,92.5811,94.8271,91.5332,92.6001,1350000000,6780000000
Apr-03-2023,93.00089,93.8353,91.73609,92.4906,1640000000,6740000000
Apr-02-2023,92.8232,95.27095,90.79492,92.91249,1600000000,6700000000
Apr-01-2023,92.59132,94.34813,90.8448,92.9542,1380000000,6740000000
Mar-31-2023,89.71375,93.7619,89.62131,92.60807,1520000000,6720000000
Mar-30-2023,89.13367,90.2279,87.9359,89.74732,1350000000,6480000000
Mar-29-2023,91.3388,92.9206,87.1624,89.12699,1570000000,6510000000
Mar-28-2023,89.1015,92.7981,89.0928,91.4139,1600000000,6620000000
Mar-27-2023,89.3063,89.3063,85.97249,89.1565,1810000000,6340000000
