,Date,weighted_positive_score,weighted_neutral_score,weighted_negative_score,total,is_missing_value
0,Apr-23-2023,0.299347,0.602728,0.097925,7705495,0
1,Apr-22-2023,0.358841,0.565735,0.075424,16580043,0
2,Apr-21-2023,0.378946,0.395909,0.225145,12031397,0
3,Apr-20-2023,0.509324,0.390879,0.099797,48100078,0
4,Apr-19-2023,0.571424,0.277535,0.151041,31872015,0
5,Apr-18-2023,0.538206,0.339476,0.122318,19512280,0
6,Apr-17-2023,0.290828,0.450175,0.237421,72051516,1
7,Apr-16-2023,0.290828,0.450175,0.237421,72051516,1
8,Apr-15-2023,0.242763,0.670931,0.086306,18395935,0
9,Apr-14-2023,0.295322,0.526154,0.178525,15828419,0
10,Apr-13-2023,0.33327,0.438259,0.228471,14835972,0
11,Apr-12-2023,0.290828,0.450175,0.237421,72051516,1
12,Apr-11-2023,0.290828,0.450175,0.237421,72051516,1
13,Apr-10-2023,0.483554,0.398967,0.117479,15061643,0
14,Apr-09-2023,0.455083,0.420827,0.12409,26450996,0
15,Apr-08-2023,0.290828,0.450175,0.237421,72051516,1
16,Apr-07-2023,0.290828,0.450175,0.237421,72051516,1
17,Apr-06-2023,0.469218,0.413484,0.117298,23550969,0
18,Apr-05-2023,0.290828,0.450175,0.237421,72051516,1
19,Apr-04-2023,0.290828,0.450175,0.237421,72051516,1
20,Apr-03-2023,0.290828,0.450175,0.237421,72051516,1
21,Apr-02-2023,0.290828,0.450175,0.237421,72051516,1
22,Apr-01-2023,0.290828,0.450175,0.237421,72051516,1
23,Mar-31-2023,0.466163,0.416082,0.117755,9254401,0
24,Mar-30-2023,0.290828,0.450175,0.237421,72051516,1
25,Mar-29-2023,0.290828,0.450175,0.237421,72051516,1
26,Mar-28-2023,0.290828,0.450175,0.237421,72051516,1
27,Mar-27-2023,0.290828,0.450175,0.237421,72051516,1
28,Mar-26-2023,0.290828,0.450175,0.237421,72051516,1
29,Mar-25-2023,0.290828,0.450175,0.237421,72051516,1
30,Mar-24-2023,0.290828,0.450175,0.237421,72051516,1
31,Mar-23-2023,0.290828,0.450175,0.237421,72051516,1
32,Mar-22-2023,0.290828,0.450175,0.237421,72051516,1
33,Mar-21-2023,0.290828,0.450175,0.237421,72051516,1
34,Mar-20-2023,0.094345,0.784683,0.120972,1300641,0
35,Mar-19-2023,0.490085,0.427326,0.082589,16611937,0
36,Mar-18-2023,0.290828,0.450175,0.237421,72051516,1
37,Mar-17-2023,0.290828,0.450175,0.237421,72051516,1
38,Mar-16-2023,0.290828,0.450175,0.237421,72051516,1
39,Mar-15-2023,0.290828,0.450175,0.237421,72051516,1
40,Mar-14-2023,0.290828,0.450175,0.237421,72051516,1
41,Mar-13-2023,0.290828,0.450175,0.237421,72051516,1
42,Mar-12-2023,0.290828,0.450175,0.237421,72051516,1
43,Mar-11-2023,0.290828,0.450175,0.237421,72051516,1
44,Mar-10-2023,0.290828,0.450175,0.237421,72051516,1
45,Mar-09-2023,0.290828,0.450175,0.237421,72051516,1
46,Mar-08-2023,0.290828,0.450175,0.237421,72051516,1
47,Mar-07-2023,0.290828,0.450175,0.237421,72051516,1
48,Mar-06-2023,0.290828,0.450175,0.237421,72051516,1
49,Mar-05-2023,0.290828,0.450175,0.237421,72051516,1
50,Mar-04-2023,0.290828,0.450175,0.237421,72051516,1
51,Mar-03-2023,0.290828,0.450175,0.237421,72051516,1
52,Mar-02-2023,0.290828,0.450175,0.237421,72051516,1
53,Mar-01-2023,0.290828,0.450175,0.237421,72051516,1
54,Feb-28-2023,0.290828,0.450175,0.237421,72051516,1
55,Feb-27-2023,0.290828,0.450175,0.237421,72051516,1
56,Feb-26-2023,0.290828,0.450175,0.237421,72051516,1
57,Feb-25-2023,0.290828,0.450175,0.237421,72051516,1
58,Feb-24-2023,0.290828,0.450175,0.237421,72051516,1
59,Feb-23-2023,0.412593,0.504497,0.08291,7943660,0
60,Feb-22-2023,0.289457,0.53154,0.179004,14042209,0
61,Feb-21-2023,0.259173,0.592106,0.148721,15935567,0
62,Feb-20-2023,0.29916,0.505574,0.195266,18482154,0
63,Feb-19-2023,0.261371,0.56842,0.170209,13651561,0
64,Feb-18-2023,0.340931,0.492826,0.166243,19019056,0
65,Feb-17-2023,0.283471,0.612858,0.103671,9123980,0
66,Feb-16-2023,0.484907,0.390045,0.125048,13357739,0
67,Feb-15-2023,0.290828,0.450175,0.237421,72051516,1
68,Feb-14-2023,0.290828,0.450175,0.237421,72051516,1
69,Feb-13-2023,0.290828,0.450175,0.237421,72051516,1
70,Feb-12-2023,0.290828,0.450175,0.237421,72051516,1
71,Feb-11-2023,0.197226,0.549189,0.253585,1013750,0
72,Feb-10-2023,0.174737,0.548259,0.277005,17652926,0
73,Feb-09-2023,0.163921,0.561596,0.274483,20339115,0
74,Feb-08-2023,0.202075,0.451532,0.346393,20689518,0
75,Feb-07-2023,0.213699,0.514186,0.272115,20370649,0
76,Feb-06-2023,0.196791,0.582478,0.220731,20929321,0
77,Feb-05-2023,0.256429,0.502291,0.24128,25473800,0
78,Feb-04-2023,0.238839,0.532648,0.228513,15516143,0
79,Feb-03-2023,0.290828,0.450175,0.237421,72051516,1
80,Feb-02-2023,0.290828,0.450175,0.237421,72051516,1
81,Feb-01-2023,0.290828,0.450175,0.237421,72051516,1
82,Jan-31-2023,0.290828,0.450175,0.237421,72051516,1
83,Jan-30-2023,0.290828,0.450175,0.237421,72051516,1
84,Jan-29-2023,0.290828,0.450175,0.237421,72051516,1
85,Jan-28-2023,0.290828,0.450175,0.237421,72051516,1
86,Jan-27-2023,0.290828,0.450175,0.237421,72051516,1
87,Jan-26-2023,0.290828,0.450175,0.237421,72051516,1
88,Jan-25-2023,0.290828,0.450175,0.237421,72051516,1
89,Jan-24-2023,0.290828,0.450175,0.237421,72051516,1
90,Jan-23-2023,0.290828,0.450175,0.237421,72051516,1
91,Jan-22-2023,0.290828,0.450175,0.237421,72051516,1
92,Jan-21-2023,0.290828,0.450175,0.237421,72051516,1
93,Jan-20-2023,0.290828,0.450175,0.237421,72051516,1
94,Jan-19-2023,0.290828,0.450175,0.237421,72051516,1
95,Jan-18-2023,0.290828,0.450175,0.237421,72051516,1
96,Jan-17-2023,0.290828,0.450175,0.237421,72051516,1
97,Jan-16-2023,0.290828,0.450175,0.237421,72051516,1
98,Jan-15-2023,0.290828,0.450175,0.237421,72051516,1
99,Jan-14-2023,0.290828,0.450175,0.237421,72051516,1
100,Jan-13-2023,0.290828,0.450175,0.237421,72051516,1
101,Jan-12-2023,0.290828,0.450175,0.237421,72051516,1
102,Jan-11-2023,0.290828,0.450175,0.237421,72051516,1
103,Jan-10-2023,0.290828,0.450175,0.237421,72051516,1
104,Jan-09-2023,0.290828,0.450175,0.237421,72051516,1
105,Jan-08-2023,0.290828,0.450175,0.237421,72051516,1
106,Jan-07-2023,0.290828,0.450175,0.237421,72051516,1
107,Jan-06-2023,0.290828,0.450175,0.237421,72051516,1
108,Jan-05-2023,0.290828,0.450175,0.237421,72051516,1
109,Jan-04-2023,0.195597,0.539882,0.264521,13602850,0
110,Jan-03-2023,0.268805,0.548659,0.182536,25282567,0
111,Jan-02-2023,0.229019,0.529381,0.2416,17488774,0
112,Jan-01-2023,0.203452,0.570131,0.226418,19119045,0
113,Dec-31-2022,0.200717,0.583169,0.216114,15364617,0
114,Dec-30-2022,0.290828,0.450175,0.237421,72051516,1
115,Dec-29-2022,0.290828,0.450175,0.237421,72051516,1
116,Dec-28-2022,0.290828,0.450175,0.237421,72051516,1
117,Dec-27-2022,0.290828,0.450175,0.237421,72051516,1
118,Dec-26-2022,0.290828,0.450175,0.237421,72051516,1
119,Dec-25-2022,0.290828,0.450175,0.237421,72051516,1
120,Dec-24-2022,0.290828,0.450175,0.237421,72051516,1
121,Dec-23-2022,0.290828,0.450175,0.237421,72051516,1
